State,Effective Date,Valid Through Date,Bans_Prohibit,Limited_Law,Limited_Court,Limited_AG,Prohibit_Req,Bans_gest_Any point in pregnancy,Bans_gest_Fetal heartbeat detected,Bans_gest_4 weeks postfertilization (6 weeks LMP) ,Bans_gest_6 weeks postfertilization (8 weeks LMP) ,Bans_gest_8 weeks postfertilization (10 weeks LMP),Bans_gest_10 weeks postfertilization (12 weeks LMP) ,Bans_gest_12 weeks postfertilization (14 weeks LMP),Bans_gest_13 weeks postfertilization (15 weeks LMP),Bans_gest_16 weeks postfertilization (18 weeks LMP) ,Bans_gest_18 weeks postfertilization (20 weeks LMP),Bans_gest_19 weeks postfertilization (21 weeks LMP),Bans_gest20 weeks postfertilization (22 weeks LMP),Bans_gest_21 weeks postfertilization (23 weeks LMP) ,Bans_gest_22 weeks postfertilization (24 weeks LMP),Bans_gest_24 weeks postfertilization (26 weeks LMP),Bans_gestViability,Bans_gest_Fetus is capable of feeling pain,Bans_gest_3rd trimester,Prohibit_ExcLife endangerment,Prohibit_ExcSerious health risk,Prohibit_Exc_Fetal anomaly,Prohibit_Exc_Rape,Prohibit_Exc_Incest,Prohibit_Exc_Health,Exc_Req_Must be performed in a hospital,Exc_ReqMust use a method most likely to result in fetal survival,Exc_Req_Second physician must participate,Exc_Req_Second physician must certify the exception,Exc_Req_Two other physicians must certify the exception,Exc_Req_Second physician must attend the abortion,Exc_Req_No requirements,Reason_Prohibit,Reason_What_Race,Reason_What_Sex,Reason_What_Down syndrome,Reason_What_Fetal anomaly,Reason_What_Fetal disability,Reason_What_Scientific research,Methods_Prohibit,Methods_ProcedPartial-birth abortions,Methods_ProcedDismemberment abortions,Methods_Proced_Saline method abortions,Methods_ExcLife endangerment,Methods_ExcSerious health risk,Methods_Exc_Fetal anomaly,Methods_Exc_No exceptions,TriggerBan,Bans_PreRoe
Texas,6/27/22,6/27/22,1,0,.,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,1,0
Texas,6/28/22,6/30/22,1,0,.,.,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,1,0
Texas,7/1/22,8/22/22,1,0,.,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,1,0
Texas,8/23/22,8/24/22,1,0,.,.,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,1,0
Texas,8/25/22,8/28/22,1,0,.,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,1,0
Texas,8/29/22,11/1/22,1,0,.,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,0,0,1,0
Utah,12/1/18,4/17/19,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,1,1,1,0,0,0,0
Utah,4/18/19,5/13/19,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,1,1,1,0,0,0,0
Utah,5/14/19,5/11/20,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,1,1,1,0,0,1,0
Utah,5/12/20,8/31/21,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,1,1,1,0,0,1,0
Utah,9/1/21,6/23/22,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,.,.,.,.,.,.,1,1,0,1,1,1,0,0,1,0
Utah,6/24/22,6/26/22,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0
Utah,6/27/22,7/10/22,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0
Utah,7/11/22,8/31/22,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0
Utah,9/1/22,11/1/22,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0
Vermont,12/1/18,11/1/22,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Virginia,12/1/18,6/30/20,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,.,.,.,.,.,.,1,1,0,0,1,1,0,0,0,0
Virginia,7/1/20,11/1/22,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,.,.,.,.,.,.,1,1,0,0,1,1,0,0,0,0
Washington,12/1/18,6/8/22,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Washington,6/9/22,11/1/22,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
West Virginia,12/1/18,6/9/22,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,1,0,1,1,1,0,0,1
West Virginia,6/10/22,7/17/22,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1
West Virginia,7/18/22,7/19/22,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1
West Virginia,7/20/22,9/12/22,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1
West Virginia,9/13/22,11/1/22,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1
Wisconsin,12/1/18,6/23/22,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,1
Wisconsin,6/24/22,11/1/22,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,1
Wyoming,12/1/18,6/30/21,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Wyoming,7/1/21,3/14/22,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Wyoming,3/15/22,7/26/22,1,0,.,.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,0,0
Wyoming,7/27/22,7/27/22,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,1,0
Wyoming,7/28/22,8/9/22,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,1,0
Wyoming,8/10/22,11/1/22,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,.,.,.,.,.,.,0,.,.,.,.,.,.,.,1,0
