ageban,WEIGHT,northeast,south,midwest,female,white,nonwhite,hsgrad,somecoll,colgrad,idR,idD,idI,survey,year,stname,monthst,dayst,monthend,dayend
30-49,.46407032,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Florida,8,4,10,2
50-64,.65572429,1,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,New Jersey,8,4,10,2
30-49,1.4058824,0,1,0,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Tennessee,8,4,10,2
30-49,1.8290772,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Virginia,8,4,10,2
30-49,2.3087361,0,0,0,1,0,1,1,1,0,0,0,1,2017-31116496,2016,California,8,4,10,2
30-49,1.9035652,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Louisiana,8,4,10,2
50-64,.51603174,0,1,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Florida,8,4,10,2
65+,.28060192,0,0,0,1,1,0,1,1,0,0,1,0,2017-31116496,2016,California,8,4,10,2
50-64,.50313973,0,0,0,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Washington,8,4,10,2
30-49,.77610409,0,1,0,0,1,0,1,1,1,0,1,0,2017-31116496,2016,Virginia,8,4,10,2
18-29,.90734094,1,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.25964364,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Wisconsin,8,4,10,2
50-64,.5996213,0,0,1,1,1,0,1,1,0,.a,.a,.a,2017-31116496,2016,Illinois,8,4,10,2
65+,.37828541,0,0,1,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Iowa,8,4,10,2
65+,.3304818,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Florida,8,4,10,2
65+,1.6509869,0,0,1,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Illinois,8,4,10,2
30-49,.71619976,0,0,0,0,0,1,1,1,1,1,0,0,2017-31116496,2016,California,8,4,10,2
65+,.36491579,1,0,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,.48510027,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Virginia,8,4,10,2
50-64,1.3736953,0,1,0,1,1,0,1,0,0,0,0,0,2017-31116496,2016,Louisiana,8,4,10,2
30-49,.8664133,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Georgia,8,4,10,2
30-49,1.5551289,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Texas,8,4,10,2
50-64,.608132,0,0,1,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Iowa,8,4,10,2
30-49,1.167292,0,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Washington,8,4,10,2
65+,.97238684,1,0,0,0,1,0,1,0,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,2.7419281,0,1,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Tennessee,8,4,10,2
50-64,.25801587,0,1,0,0,1,0,1,1,0,0,0,1,2017-31116496,2016,North Carolina,8,4,10,2
50-64,.99047601,0,0,0,1,1,0,1,1,0,0,1,0,2017-31116496,2016,Oregon,8,4,10,2
65+,.22405803,0,0,1,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Illinois,8,4,10,2
30-49,3.590826,0,0,1,0,1,0,0,0,0,1,0,0,2017-31116496,2016,Ohio,8,4,10,2
65+,.45137084,0,0,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Wyoming,8,4,10,2
65+,.56277096,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
50-64,1.0622494,0,1,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Texas,8,4,10,2
30-49,1.1237712,0,1,0,1,0,1,1,1,0,0,0,0,2017-31116496,2016,Maryland,8,4,10,2
65+,.23422603,0,0,1,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Michigan,8,4,10,2
50-64,1.4861177,0,0,1,1,1,0,1,0,0,1,0,0,2017-31116496,2016,Missouri,8,4,10,2
30-49,1.127589,0,0,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Washington,8,4,10,2
50-64,1.3108914,0,0,1,0,0,1,1,0,0,0,0,1,2017-31116496,2016,Illinois,8,4,10,2
50-64,.20393097,0,0,1,0,1,0,1,0,0,0,0,1,2017-31116496,2016,Michigan,8,4,10,2
30-49,1.0204933,0,0,1,0,0,1,1,1,1,1,0,0,2017-31116496,2016,Missouri,8,4,10,2
30-49,1.6132389,0,0,1,0,0,1,1,1,0,0,1,0,2017-31116496,2016,Indiana,8,4,10,2
65+,.25470775,1,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.20393097,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Ohio,8,4,10,2
30-49,1.0646555,0,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Arizona,8,4,10,2
65+,.76687545,0,1,0,1,1,0,1,0,0,0,0,1,2017-31116496,2016,Arkansas,8,4,10,2
